myo_vol,bp_vol,num_slices,distance,scale_factor
0.15254721089999998,0.07899766278749999,2.0,3.75,0.3
0.266957619075,0.057205204087499996,2.0,3.75,0.4
0.8144931439124999,0.5502595821749999,3.0,3.75,0.5
1.1032432216874999,0.6347053596374999,3.0,3.75,0.6000000000000001
2.2010383286999997,1.9122882509249999,4.0,3.75,0.7000000000000002
2.7758144269124996,2.1247647232499998,4.0,3.75,0.8000000000000003
4.701722964524999,4.432041288112499,5.0,3.75,0.9000000000000001
5.815862415562499,4.756204111274999,5.0,3.75,1.0000000000000002
8.9812170417375,8.357407911449998,6.0,3.75,1.1000000000000003
10.531205666774998,8.964872697712499,6.0,3.75,1.2000000000000004
15.055864904362497,14.1242372949375,7.0,3.75,1.3000000000000005
17.275971634424998,15.055864904362497,7.0,3.75,1.4000000000000004
23.396928471787497,22.160206440562497,8.0,3.75,1.5000000000000004
30.525786524024998,30.9425672966625,9.0,3.75,1.6000000000000005
34.1406106108875,32.914784809012495,9.0,3.75,1.7000000000000004
43.28254703553749,44.235967103662496,10.0,3.75,1.8000000000000005
47.921616681299994,46.5950007579375,10.0,3.75,1.9000000000000006
59.4416551615875,60.4522804338,11.0,3.75,2.0000000000000004
64.9442509833375,63.4187788743375,11.0,3.75,2.1000000000000005
79.24282794787499,80.31883059618748,12.0,3.75,2.2000000000000006
86.0556953489625,83.88189759363749,12.0,3.75,2.3000000000000007
102.47903703674999,104.36408471429999,13.0,3.75,2.4000000000000004
110.30797782472499,108.98953407337498,13.0,3.75,2.5000000000000004
130.41152097547484,132.54173381339987,14.0,3.7499999999999964,2.6000000000000005
139.39001395987486,138.13694758462483,14.0,3.7499999999999964,2.7000000000000006
162.3946781750623,165.62268611999983,15.0,3.7499999999999964,2.8000000000000007
187.66575809505014,196.35822505901268,16.0,3.7500000000000036,2.900000000000001
199.8341222216627,203.9528969159627,16.0,3.7500000000000036,3.000000000000001
