myo_vol,bp_vol,num_slices,distance,scale_factor
0.3023703644625,0.3459552818625,2.0,3.75,0.3
0.5311911808124998,0.47398597672499987,2.0,3.75,0.4
1.225825801875,1.2884791206375,3.0,3.75,0.5
1.716156122625,1.6208141158124998,3.0,3.75,0.6000000000000001
3.0155314726124995,3.3614867544749996,4.0,3.75,0.7000000000000002
3.8545411325625,3.9362628526875,4.0,3.75,0.8000000000000003
6.071923805287499,6.815591458424999,5.0,3.75,0.9000000000000001
7.4720892767625,7.608292143637499,5.0,3.75,1.0000000000000002
11.037880331550001,11.885062163512497,6.0,3.75,1.1000000000000003
12.961064811824999,13.086371449349997,6.0,3.75,1.2000000000000004
17.88071236335,19.0929178785375,7.0,3.75,1.3000000000000005
20.5584607261125,20.708283879674998,7.0,3.75,1.4000000000000004
27.1534035402,28.771493598674997,8.0,3.75,1.5000000000000004
34.159679012249995,38.5317910389375,9.0,3.75,1.6000000000000005
38.973088327612494,41.424739931362495,9.0,3.75,1.7000000000000004
48.72248953852499,53.824648931662495,10.0,3.75,1.8000000000000005
53.966299913212495,57.20248003016249,10.0,3.75,1.9000000000000006
66.1537324411875,72.2719652212125,11.0,3.75,2.0000000000000004
72.31282608127499,76.39891208752499,11.0,3.75,2.1000000000000005
87.33872635492499,94.63102784741248,12.0,3.75,2.2000000000000006
94.911605753175,99.44443716277499,12.0,3.75,2.3000000000000007
112.14399247019999,121.38671901633748,13.0,3.75,2.4000000000000004
120.75473771403747,127.36330081481248,13.0,3.75,2.5000000000000004
141.71908298343735,152.49817786792482,14.0,3.7499999999999964,2.6000000000000005
151.58017054518734,159.5780028880873,14.0,3.7499999999999964,2.7000000000000006
175.46742933772478,188.7907937754373,15.0,3.7499999999999964,2.8000000000000007
193.24462752225014,221.2942459264877,16.0,3.7500000000000036,2.900000000000001
214.87091872466272,230.5342484152877,16.0,3.7500000000000036,3.000000000000001
