myo_vol,bp_vol,num_slices,distance,scale_factor
0.24591570473308036,0.142529352745716,2.0,3.75,0.3
0.5726293783686831,0.345282042715062,2.0,3.75,0.4
1.086343405746065,0.678367358654312,3.0,3.75,0.5
1.792808751545431,1.3303477015035046,3.0,3.75,0.6000000000000001
2.693224408974681,2.2608341882757377,4.0,3.75,0.7000000000000002
3.936944055381646,3.5488929290471263,4.0,3.75,0.8000000000000003
5.493051700811562,5.199016222207931,5.0,3.75,0.9000000000000001
7.64392812794207,7.199580207657287,5.0,3.75,1.0000000000000002
10.226175583859218,9.751423819182618,6.0,3.75,1.1000000000000003
13.25203398181393,12.813061355588511,6.0,3.75,1.2000000000000004
16.860932248259562,16.460369640623835,7.0,3.75,1.3000000000000005
21.08969753704026,20.76295738607243,7.0,3.75,1.4000000000000004
25.955482369724134,25.78017267344171,8.0,3.75,1.5000000000000004
31.38443130265318,31.580292406524418,9.0,3.75,1.6000000000000005
37.659878055622514,38.20877207242734,9.0,3.75,1.7000000000000004
44.71473753760791,45.79976138640539,10.0,3.75,1.8000000000000005
52.712994465212276,54.00406939459878,10.0,3.75,1.9000000000000006
61.59711386088088,63.23249204692758,11.0,3.75,2.0000000000000004
71.15124123680464,73.450860510275,11.0,3.75,2.1000000000000005
82.34018718029904,84.81115420052717,12.0,3.75,2.2000000000000006
94.20427298381469,97.08027185552537,12.0,3.75,2.3000000000000007
106.76513582484883,110.97794491168813,13.0,3.75,2.4000000000000004
120.44308197661,126.02786842989683,13.0,3.75,2.5000000000000004
136.18597304418452,141.8053050481812,14.0,3.7499999999999964,2.6000000000000005
152.05711567077984,159.6065019147854,14.0,3.7499999999999964,2.7000000000000006
169.8688262229831,178.1318775134202,15.0,3.7499999999999964,2.8000000000000007
188.73200719653286,198.28131878562908,16.0,3.7500000000000036,2.900000000000001
209.54290767808874,220.35712105415539,16.0,3.7500000000000036,3.000000000000001
