myo_vol,bp_vol,num_slices,distance
4.25199836382243,0.4662339104303728,2.0,17.96867979577144
6.38092754602543,5.125153207877992,3.0,8.98433989788572
7.042654127304373,6.357085894676082,4.0,5.9895599319238135
7.413767260686371,6.895427541357392,5.0,4.492169948942859
7.627235176660139,7.216132538352324,6.0,3.593735959154288
7.754213847216925,7.423227562558523,7.0,2.994779965961907
7.86791280775321,7.547741957029025,8.0,2.566954256538776
7.908984075857832,7.674549497302041,9.0,2.2460849744714295
7.930386770014576,7.785955312035828,10.0,1.996519977307938
7.977408808520133,7.859267525602575,11.0,1.796867979577144
7.993926925801477,7.909841191645944,12.0,1.6335163450701302
8.00218162839857,7.982892042597484,13.0,1.4973899829809536
8.009166376749953,8.0278966744552,14.0,1.382206138136265
8.049447812775634,8.057436394207363,15.0,1.283477128269388
8.056183500744794,8.092812446468152,16.0,1.1979119863847631
8.058124118162732,8.122328997812666,17.0,1.1230424872357148
8.084189273678257,8.14042451534818,18.0,1.0569811644571443
8.0746153731753,8.173120466035384,19.0,0.998259988653969
8.072404490000428,8.203131313694282,20.0,0.9457199892511283
8.091545862582864,8.213897390051912,21.0,0.8984339897885711
8.10790591771121,8.217751244042402,22.0,0.8556514188462587
8.108795795186811,8.23079448312532,23.0,0.8167581725350651
8.127108223639548,8.239578539714818,24.0,0.7812469476422366
8.109993707173189,8.265719062582917,25.0,0.7486949914904759
8.12161824508907,8.273783406075264,26.0,0.7187471918308572
8.120295750256101,8.285650475094844,27.0,0.6911030690681317
8.118006407348787,8.301004225648544,28.0,0.6655066591026455
8.139188533584237,8.296984565427575,29.0,0.6417385641346949
8.132440099359455,8.314655832592237,30.0,0.6196096481300497
8.137929014695683,8.32127822051144,31.0,0.5989559931923807
8.137592053646607,8.329049964340529,32.0,0.5796348321216588
8.136916779067194,8.339300806346605,33.0,0.5615212436178574
8.138721814628495,8.337953155361923,34.0,0.5445054483567101
8.147016234093584,8.348776642485971,35.0,0.5284905822285721
8.149497421878499,8.35347809470548,36.0,0.5133908513077559
8.143455381992878,8.362789863879636,37.0,0.4991299943269845
8.147996655541249,8.368257091017481,38.0,0.48563999448030837
8.149575241123335,8.377068134117367,39.0,0.47285999462556505
8.146870966938664,8.375991468283425,40.0,0.4607353793787544
8.146098774442827,8.384599848111742,41.0,0.44921699489428557
8.151254470762767,8.386337112665661,42.0,0.43826048282369356
8.155343232372049,8.391208899670916,43.0,0.42782570942312936
8.157236012906006,8.389569232765952,44.0,0.4178762743202655
8.158324010769356,8.39107510690362,45.0,0.40837908626753344
8.155274780258555,8.40241679238926,46.0,0.39930399546158835
8.167170567114624,8.399765413859363,47.0,0.3906234738211174
8.165286265966012,8.402242797797166,48.0,0.38231233608024273
8.155574258255147,8.410366934938896,49.0,0.37434749574523885
8.159988197217212,8.411705418229793,50.0,0.3667077509341109
8.160948091426073,8.417820343318185,51.0,0.3593735959154295
8.160968385464425,8.419072936463472,52.0,0.35232705481904814
8.163531158257003,8.421272541368774,53.0,0.34555153453406584
8.161766107097982,8.428976384636814,54.0,0.3390316942598389
8.167413621720588,8.422978286128895,55.0,0.3327533295513236
8.167001249594337,8.424673271088995,56.0,0.3267032690140257
8.173277686111053,8.42712914623407,57.0,0.32086928206734655
8.164757199350765,8.434340936666398,58.0,0.31523999641704276
8.170112365965764,8.432084253105845,59.0,0.30980482406502485
8.167538150424244,8.439649791928096,60.0,0.30455389484358375
8.169649724095148,8.439871507163533,61.0,0.29947799659619034
8.178855972279067,8.43509007092676,62.0,0.2945685212421556
8.173807637957566,8.440015256601901,63.0,0.2898174160608294
8.174897719464061,8.44200036789361,64.0,0.285217139615419
8.168811185704685,8.448101162510001,65.0,0.2807606218089287
8.168131140284718,8.45082963742668,66.0,0.27644122762725265
8.173003877657031,8.448335299852795,67.0,0.27225272417835505
8.17275356768971,8.45333889857582,68.0,0.2681892506831551
8.173144808478941,8.45426336269877,69.0,0.2642452911142852
8.183399670373646,8.448577723148047,70.0,0.2604156492140783
8.182970505383764,8.451597354207417,71.0,0.25669542565387793
8.179111541587618,8.45416749004106,72.0,0.2530799971235415
8.175679214426603,8.45810372759629,73.0,0.2495649971634914
8.175649129879016,8.460041719453734,74.0,0.24614629857221126
8.180981323966382,8.459790517177161,75.0,0.24281999724015507
8.185442995723669,8.45667102486062,76.0,0.239582397276953
8.179876109578938,8.46225859074911,77.0,0.23642999731278252
8.183153459214402,8.461465659807454,78.0,0.23335947786716146
8.180228208405687,8.462757154928036,79.0,0.2303676896893772
8.178577959254445,8.464707406964301,80.0,0.2274516429844487
8.17387835340712,8.471568258323309,81.0,0.22460849744714365
8.17795524720077,8.469315296446682,82.0,0.22183555303421573
8.17653333541204,8.472095923944602,83.0,0.21913024141184678
8.179856511526133,8.470860768617579,84.0,0.21649011802134244
8.183237468626462,8.469518117523753,85.0,0.21391285471156554
8.183122710671457,8.469492347316306,86.0,0.21139623289142923
8.1832446322197,8.471941003959962,87.0,0.20893813716013274
8.17992698279215,8.475291699235447,88.0,0.20653654937668325
8.180213129793255,8.475625912924418,89.0,0.20418954313376586
8.180428240035567,8.477406262199393,90.0,0.20189527860417328
8.184184389529976,8.475984560513107,91.0,0.19965199773079417
8.18043356474622,8.478227332580786,92.0,0.19745801973375215
8.186170492881283,8.476327614728302,93.0,0.1953117369105587
8.184333806508901,8.478642121814486,94.0,0.1932116107072196
8.182842048438813,8.480601534200172,95.0,0.19115616804012137
8.183258004260473,8.482882852274667,96.0,0.18914399785022531
8.182587173548086,8.482690871116839,97.0,0.18717374787261853
