myo_vol,bp_vol,num_slices,distance,scale_factor
0.030711342183469714,0.049569977487511095,2.0,3.75,0.3
0.10245173544309603,0.08587848882923484,2.0,3.75,0.4
0.49913384485981865,0.35526633435265603,3.0,3.75,0.5
0.7742724031557597,0.4304394839786643,3.0,3.75,0.6000000000000001
1.69696492529663,1.4620228085075069,4.0,3.75,0.7000000000000002
2.2760074481766392,1.6497744341532778,4.0,3.75,0.8000000000000003
3.9883549425851137,3.6639538862664214,5.0,3.75,0.9000000000000001
5.080728288400192,3.945644084964629,5.0,3.75,1.0000000000000002
7.9654538253813065,7.1917986866576005,6.0,3.75,1.1000000000000003
9.526654526411791,7.709050727463108,6.0,3.75,1.2000000000000004
13.715009523480209,12.478805988530386,7.0,3.75,1.3000000000000005
15.967723328085704,13.247585691628876,7.0,3.75,1.4000000000000004
21.723800780419882,19.905552041483002,8.0,3.75,1.5000000000000004
28.36435395705328,28.257250396764068,9.0,3.75,1.6000000000000005
32.103088202475945,30.06158220541157,9.0,3.75,1.7000000000000004
40.84836460266884,40.89384296672928,10.0,3.75,1.8000000000000005
45.4451232572155,43.074283529702285,10.0,3.75,1.9000000000000006
56.51222665367742,56.413830725012915,11.0,3.75,2.0000000000000004
62.0170898177228,59.09126342750959,11.0,3.75,2.1000000000000005
75.83796198570582,75.37410619162978,12.0,3.75,2.2000000000000006
82.64896086889974,78.61929428163764,12.0,3.75,2.3000000000000007
98.58185102624543,98.53789094006426,13.0,3.75,2.4000000000000004
106.49105650610312,102.75844737669071,13.0,3.75,2.5000000000000004
125.92948136888529,125.73074358540373,14.0,3.7499999999999964,2.6000000000000005
134.8026170869212,130.90838237574303,14.0,3.7499999999999964,2.7000000000000006
157.38598178659666,157.7475632249031,15.0,3.7499999999999964,2.8000000000000007
180.73733810721032,187.59492861763312,16.0,3.7500000000000036,2.900000000000001
194.1011950180103,194.97635147755034,16.0,3.7500000000000036,3.000000000000001
