myo_vol,bp_vol,num_slices,distance
0.31061517800399985,0.5285397650039999,2.0,17.96867979577144
3.189704262599389,2.4994685791925977,3.0,8.98433989788572
4.898833612134739,4.4548195791780065,4.0,5.9895599319238135
5.799179962709559,5.469132116691466,5.0,4.492169948942859
6.257778573817654,6.1590308969243415,6.0,3.593735959154288
6.588604316288818,6.6383718954309225,7.0,2.994779965961907
6.854111969050442,6.883334327188262,8.0,2.566954256538776
7.03921960920748,7.130954945303933,9.0,2.2460849744714295
7.1605961332972345,7.346836809407938,10.0,1.996519977307938
7.214636578589715,7.548843162921452,11.0,1.796867979577144
7.350843672016558,7.613971997453109,12.0,1.6335163450701302
7.382850383866789,7.773574987627319,13.0,1.4973899829809536
7.425567356872009,7.840791079214585,14.0,1.382206138136265
7.457891742863868,7.940432868808941,15.0,1.283477128269388
7.52745475948415,8.011300432590959,16.0,1.1979119863847631
7.549750924594204,8.070606545641525,17.0,1.1230424872357148
7.574160410902933,8.107720574967953,18.0,1.0569811644571443
7.612709566615032,8.17271536311455,19.0,0.998259988653969
7.623677904754893,8.204268711163603,20.0,0.9457199892511283
7.654099085602884,8.256500868956092,21.0,0.8984339897885711
7.6445628813573085,8.287788359229966,22.0,0.8556514188462587
7.7148629674762415,8.291693248656646,23.0,0.8167581725350651
7.714343668217906,8.347544999183889,24.0,0.7812469476422366
7.739066529740415,8.368978175344491,25.0,0.7486949914904759
7.721082339962999,8.391447262006189,26.0,0.7187471918308572
7.738630601295697,8.415178778609965,27.0,0.6911030690681317
7.756567150782934,8.434643480743542,28.0,0.6655066591026455
7.785685665343291,8.440130979958644,29.0,0.6417385641346949
7.783197824131156,8.468665918681618,30.0,0.6196096481300497
7.7960170817081735,8.49488814228851,31.0,0.5989559931923807
7.812672355665604,8.491438835906957,32.0,0.5796348321216588
7.807349290330632,8.520867817609071,33.0,0.5615212436178574
7.8301517863081145,8.528720512582048,34.0,0.5445054483567101
7.82191115668895,8.545216138524063,35.0,0.5284905822285721
7.837077983683779,8.553592418811883,36.0,0.5133908513077559
7.854992239231359,8.557683349430983,37.0,0.4991299943269845
7.841261776395724,8.582524236380248,38.0,0.48563999448030837
7.826888748639437,8.596520381950478,39.0,0.47285999462556505
7.856534707721296,8.596877620896523,40.0,0.4607353793787544
7.854231892457287,8.612544687221325,41.0,0.44921699489428557
7.858097488708795,8.61204768351086,42.0,0.43826048282369356
7.8527396910520855,8.632749598416863,43.0,0.42782570942312936
7.86193039095664,8.642904416522265,44.0,0.4178762743202655
7.87691370238784,8.638660958374404,45.0,0.40837908626753344
7.891247767005417,8.636384338613409,46.0,0.39930399546158835
7.882191506997139,8.660668009252692,47.0,0.3906234738211174
7.892152302817002,8.65648413037536,48.0,0.38231233608024273
7.889261894823134,8.671596624325668,49.0,0.37434749574523885
7.902149902013693,8.672622835641175,50.0,0.3667077509341109
7.891254762966107,8.683078671784452,51.0,0.3593735959154295
7.897401153202106,8.689092030936544,52.0,0.35232705481904814
7.907346133368487,8.690539062014528,53.0,0.34555153453406584
7.904151679434636,8.703520852027369,54.0,0.3390316942598389
7.90275075392986,8.702785477777573,55.0,0.3327533295513236
7.917088596870266,8.703808808964485,56.0,0.3267032690140257
7.921583120698267,8.708147868796981,57.0,0.32086928206734655
7.912421996824169,8.716684472537082,58.0,0.31523999641704276
7.924462614694323,8.717098497126592,59.0,0.30980482406502485
7.923510972260687,8.728261798695526,60.0,0.30455389484358375
7.923896030530763,8.730266591782742,61.0,0.29947799659619034
7.9268511513667335,8.730491979002695,62.0,0.2945685212421556
7.92821463646182,8.73247149229361,63.0,0.2898174160608294
7.931185571380538,8.740438485531728,64.0,0.285217139615419
7.920238813957066,8.748892996616938,65.0,0.2807606218089287
7.9200231647455155,8.751587724166617,66.0,0.27644122762725265
7.936448395721448,8.752487596027029,67.0,0.27225272417835505
7.929296638074241,8.76004155823275,68.0,0.2681892506831551
7.940879485601941,8.755773144710313,69.0,0.2642452911142852
7.952320105114314,8.758018237558312,70.0,0.2604156492140783
7.950021486060644,8.763760963718383,71.0,0.25669542565387793
7.948094801269551,8.765065598330146,72.0,0.2530799971235415
7.953714203949673,8.763294536843375,73.0,0.2495649971634914
7.946579026538928,8.77559274826354,74.0,0.24614629857221126
7.955568155724484,8.772056419291928,75.0,0.24281999724015507
7.94952588894214,8.775426789099154,76.0,0.239582397276953
7.946745990091861,8.779077950481003,77.0,0.23642999731278252
7.952163789244578,8.780949553933212,78.0,0.23335947786716146
7.949419757546598,8.784944315689147,79.0,0.2303676896893772
7.951362053243346,8.789791436266833,80.0,0.2274516429844487
7.95371557887901,8.793239706933466,81.0,0.22460849744714365
7.960587827432316,8.788720830721763,82.0,0.22183555303421573
7.953553651586829,8.795709040051449,83.0,0.21913024141184678
7.964313115085303,8.791818840997392,84.0,0.21649011802134244
7.9659551614905215,8.79356564254767,85.0,0.21391285471156554
7.972050579318883,8.793119523053404,86.0,0.21139623289142923
7.964768802785647,8.800374092698307,87.0,0.20893813716013274
7.960876494754568,8.806106918633244,88.0,0.20653654937668325
7.962932417169933,8.807698699775564,89.0,0.20418954313376586
7.961237119401015,8.815002620008391,90.0,0.20189527860417328
7.9799180304338035,8.80080940192495,91.0,0.19965199773079417
7.965214717625251,8.810573674300567,92.0,0.19745801973375215
7.972640393811893,8.812033890768634,93.0,0.1953117369105587
7.966759075647375,8.81544651259239,94.0,0.1932116107072196
7.971699413336455,8.815798418208132,95.0,0.19115616804012137
7.970603557118041,8.822092990589866,96.0,0.18914399785022531
