myo_vol,bp_vol,num_slices,distance,scale_factor
0.1511831371016611,0.1637253000436154,2.0,3.75,0.3
0.26695761907500004,0.20946487337699224,2.0,3.75,0.4
0.8225437077985047,0.8539901856707982,3.0,3.75,0.5
1.1608637911547317,1.0422432883472337,3.0,3.75,0.6000000000000001
2.325178607316559,2.5359976794775165,4.0,3.75,0.7000000000000002
2.9968399659434426,2.9144566241240377,4.0,3.75,0.8000000000000003
5.026972172425647,5.498924143426941,5.0,3.75,0.9000000000000001
6.219663940186377,6.045738110211876,5.0,3.75,1.0000000000000002
9.545327519630355,9.96270320892548,6.0,3.75,1.1000000000000003
11.237986421352522,10.851953665053795,6.0,3.75,1.2000000000000004
15.905084284624602,16.397873690493892,7.0,3.75,1.3000000000000005
18.32427432356214,17.61442018940254,7.0,3.75,1.4000000000000004
24.63787313985275,25.16132652647466,8.0,3.75,1.5000000000000004
31.649495146270855,34.39905071374684,9.0,3.75,1.6000000000000005
35.86460117468287,36.846142528077515,9.0,3.75,1.7000000000000004
45.263419935978675,48.66795599336208,10.0,3.75,1.8000000000000005
50.14539693073204,51.55680491673552,10.0,3.75,1.9000000000000006
61.95076582903386,66.00794361413453,11.0,3.75,2.0000000000000004
67.82035688672231,69.48053910773397,11.0,3.75,2.1000000000000005
82.38140404125768,86.9890140269412,12.0,3.75,2.2000000000000006
89.56459659838566,91.10251258669241,12.0,3.75,2.3000000000000007
106.37368129736353,112.35008102927884,13.0,3.75,2.4000000000000004
114.71585995405682,117.49824042192061,13.0,3.75,2.5000000000000004
135.05842791115018,141.92870847937593,14.0,3.7499999999999964,2.6000000000000005
144.47777469505684,148.13182969934823,14.0,3.7499999999999964,2.7000000000000006
167.98397955707716,176.5402792965346,15.0,3.7499999999999964,2.8000000000000007
189.21815465155655,207.98618968079083,16.0,3.7500000000000036,2.900000000000001
206.26063183400353,216.5199856213134,16.0,3.7500000000000036,3.000000000000001
