0.0792,0.547,0.646,88.88,84.31,5.14
0.0441,0.489,0.598,87.84,85.88,2.24
0.00191,0.415,0.481,86.94,86.88,0.06
0.0183,0.489,0.597,87.35,86.94,0.47
0.078,0.488,0.594,88.58,86.02,2.89
0.0175,0.489,0.597,87.34,86.83,0.58
0.0934,0.531,0.648,88.18,81.24,7.87
0.0594,0.531,0.648,88.18,84.30,4.40
0.0352,0.552,0.655,87.76,86.81,1.08
0.0656,0.551,0.653,88.20,86.61,1.80
0.062,0.540,0.657,88.47,86.80,1.88
0.0294,0.482,0.598,87.59,86.82,0.87
0.099,0.484,0.591,89.92,87.85,2.30
0.0185,0.489,0.597,87.37,86.83,0.62
0.0241,0.489,0.598,87.50,86.98,0.60
0.0275,0.489,0.598,87.51,86.73,0.89
0.0653,0.486,0.594,88.24,86.93,1.48
0.0524,0.488,0.598,87.94,86.67,1.44
0.0398,0.481,0.598,87.84,86.87,1.10
0.00384,0.480,0.580,87.09,87.00,0.10
0.0284,0.489,0.598,87.51,86.87,0.74
0.0216,0.490,0.600,87.42,86.91,0.59
0.0414,0.488,0.598,87.87,86.92,1.07
0.0115,0.489,0.598,87.25,86.92,0.38
0.0849,0.537,0.625,88.96,86.87,2.34
0.0616,0.552,0.654,88.06,86.04,2.30
0.00575,0.488,0.593,87.13,87.02,0.13
0.0422,0.482,0.596,88.00,86.98,1.16
0.0562,0.483,0.599,88.10,86.95,1.31
0.0849,0.534,0.653,88.04,85.83,2.50
0.0465,0.552,0.655,88.00,85.95,2.33
0.0993,0.543,0.634,88.80,86.09,3.05
0.000853,0.377,0.409,86.90,86.89,0.02
0.0609,,,,,
0.0279,0.490,0.600,87.52,86.82,0.80
0.037,,,,,
0.0733,,,,,
