0.0678,0.793,0.729,,,
0.0266,0.730,0.696,,,
0.0495,0.770,0.717,,,
0.0611,0.777,0.720,,,
0.0085,0.700,0.680,,,
0.00091,0.689,0.672,,,
0.0549,0.776,0.714,,,
0.0988,0.787,0.739,,,
0.0842,0.785,0.726,,,
0.0281,0.731,0.697,,,
0.0735,0.799,0.730,,,
0.0738,0.797,0.725,,,
0.0285,0.732,0.696,,,
0.0503,0.770,0.718,,,
0.0928,0.779,0.739,,,
0.0465,0.763,0.712,,,
0.0569,0.778,0.719,,,
0.0118,0.707,0.684,,,
0.0324,0.738,0.701,,,
0.0589,0.783,0.720,,,
